harga;ukuran
42.000;210
42.999;105
26.500;210
48.000;105
70.000;105
55.000;105
45.000;205
43.000;205
48.000;205
55.000;205
61.900;205
140.000;205
50.000;205
68.000;205
76.000;205
900.000;205
55.000;205
40.200;205
63.000;205
55.000;205
48.000;205
50.000;205
68.000;205
57.000;205
35.000;205
87.000;205
50.000;205
65.500;205
49.000;205
53.000;205
43.000;205
69.000;205
55.000;205
53.000;205
140.000;205
60.000;205
50.000;205
65.000;205
50.000;205
55.000;205
59.000;205
55.000;205
75.000;205
59.900;205
90.000;205
130.000;205
59.755;205
55.000;205
53.900;205
61.900;205
48.000;200
119.000;200
120.000;200
124.000;200
59.900;200
37.000;200
55.000;200
22.000;200
78.000;200
95.000;200
45.000;210
22.000;50
95.000;200
42.000;210
59.999;100
29.999;50
92.999;100
46.999;50
44.000;200
43.900;215
129.000;240
45.000;210
48.000;200
43.000;215
42.000;210
30.000;119
